K00907	MYLK
K00908	CAMKK1
K00909	GRK1_7
K00910	ADRBK, GRK
K00911	ITPK
K00912	lpxK
K00913	ITPK1
K00914	PIK3C3, VPS34
K00915	IPMK, IPK2
K00916	CTK1
K00917	lacC
K00918	pfkC
K00919	ispE
K00920	PIP4K2
K00921	PIKFYVE, FAB1
K00922	PIK3CA_B_D
K00923	PIK3C2
K00924	E2.7.1.-
K00925	ackA
K00926	arcC
K00927	PGK, pgk
K00928	lysC
K00929	buk
K00930	argB
K00931	proB
K00932	tdcD
K00933	E2.7.3.2
K00934	E2.7.3.3
K00936	pdtaS
K00937	ppk1
K00938	E2.7.4.2, mvaK2
K00939	adk, AK
K00940	ndk, NME
K00941	thiD
K00942	gmk, GUK1
K00943	tmk, DTYMK
K00944	AK3
K00945	cmk
K00946	thiL
K00947	mosAB
K00948	PRPS, prsA
K00949	thiN, TPK1, THI80
K00950	folK
K00951	relA
K00952	nadM
K00953	FLAD1
K00954	E2.7.7.3A, coaD, kdtB
K00955	cysNC
K00956	cysN
K00957	cysD
K00958	sat, met3
K00960	rpo13
K00962	pnp, PNPT1
K00963	UGP2, galU, galF
K00965	galT, GALT
K00966	GMPP
K00967	PCYT2
K00968	PCYT1
K00969	nadD
K00970	pcnB
K00971	manC, cpsB
K00972	UAP1
K00973	rfbA, rmlA, rffH
K00974	cca
K00975	glgC
K00976	FPGT
K00977	DNTT
K00978	rfbF
K00979	kdsB
K00980	tagD
K00981	E2.7.7.41, CDS1, CDS2, cdsA
K00982	glnE
K00983	neuA, nnaC
K00984	aadA
K00985	3D
K00986	ltrA
K00987	CEG1
K00988	APA1_2
K00989	rph
K00990	glnD
K00991	ispD
K00992	murU
K00993	EPT1
K00994	CHPT1, CPT1
K00995	pgsA, PGS1
K00996	rfbP
K00997	acpS
K00998	pssA
K00999	CDIPT
K01000	mraY
K01001	ALG7
K01002	mdoB
K01003	bcpA
K01004	pcs
K01005	tagT_U_V
K01006	ppdK
K01007	pps, ppsA
K01008	selD, SEPHS
K01009	E2.7.7.103
K01011	TST, MPST, sseA
K01012	bioB
K01013	TSTD1
K01014	SULT1A
K01015	SULT2B
K01016	SULT1E1, STE
K01017	CHST11
K01019	GAL3ST1
K01020	CHST3
K01021	TPST
K01022	CHST1
K01023	assT
K01024	HS3ST1
K01025	SULT1
K01026	pct
K01027	OXCT
K01028	scoA
K01029	scoB
K01031	pcaI
K01032	pcaJ
K01034	atoD
K01035	atoA
K01039	gctA
K01040	gctB
K01041	gcdG, caiB
K01042	selA
K01043	SWNK
K01044	CES1
K01045	PON
K01046	lip, TGL2
K01047	PLA2G, SPLA2
K01048	pldB
K01049	ACHE
K01050	BCHE
K01051	E3.1.1.11
K01052	LIPA
K01053	gnl, RGN
K01054	MGLL
K01055	pcaD
K01056	PTH1, PTRH1, pth, spoVC
K01057	PGLS, pgl, devB
K01058	pldA
K01059	LPL
K01060	cah
K01061	E3.1.1.45
K01062	PLA2G7, PAFAH
K01063	JHE
K01064	WNT9
K01065	AOAH
K01066	aes
K01067	E3.1.2.1, ACH1
K01068	ACOT1_2_4
K01069	gloB, gloC, HAGH
K01070	frmB, ESD, fghA
K01071	MCH
K01073	E3.1.2.20
K01074	PPT
K01075	E3.1.2.23
K01076	ABHD17
K01077	E3.1.3.1, phoA, phoB
K01078	PHO
K01079	serB, PSPH
K01080	PLPP1_2_3
K01081	E3.1.3.5
K01082	cysQ, MET22, BPNT1
K01083	E3.1.3.8
K01084	G6PC
K01085	agp
K01086	fbp-SEBP
K01087	otsB
K01089	hisB
K01090	E3.1.3.16
K01091	gph
K01092	E3.1.3.25, IMPA, suhB
K01093	appA
K01094	GEP4
K01095	pgpA
K01096	pgpB
K01097	NANP
K01098	CET1
K01099	INPP5B_F
K01100	E3.1.3.37
K01101	E3.1.3.41
K01102	PDP
K01103	PFKFB3
K01104	E3.1.3.48
K01106	INPP5A
K01107	INPP1
K01108	MTM1
K01109	INPP4
K01110	PTEN
K01111	E3.1.3.68
K01112	PHPT1
K01113	phoD
K01114	plc
K01115	PLD1_2
