	Proteobacteria	Acidobacteriota	Actinobacteriota	Verrucomicrobiota	Firmicutes	Planctomycetota	Bacteroidota	Myxococcota	Chloroflexi	Bacteria_unclassified	Gemmatimonadota	Crenarchaeota	Methylomirabilota	Dependentiae	Nitrospirota	Desulfobacterota	Armatimonadota	Bdellovibrionota	RCP2-54	Latescibacterota	Entotheonellaeota	NB1-j	Cyanobacteria	Sumerlaeota	Patescibacteria	Elusimicrobiota	MBNT15	Abditibacteriota	Fibrobacterota	WPS-2	Nitrospinota	WS2	Nanoarchaeota	Spirochaetota	Thermoplasmatota	SAR324_clade(Marine_group_B)	Hydrogenedentes	GAL15	Deinococcota	Fusobacteriota	FCPU426	Archaea_unclassified	WS4	Euryarchaeota	Margulisbacteria	Halanaerobiaeota	Halobacterota	TA06
S6S202009a	0.2803206620118957	0.22498060512024756	0.1569692267907937	0.06258081199896565	0.011119731057667438	0.051202482544608276	0.03335919317300234	0.0426687354538402	0.014740108611326602	0.025084044478924216	0.025601241272304093	0.018877682958365657	0.016550297388156193	0.008533747090768037	0.007757951900698215	0.0064649599172485125	0.0012929919834497026	0.002585983966899405	0.0007757951900698216	0.0012929919834497026	0.0012929919834497026	0.002068787173519524	0.001034393586759762	0.000517196793379881	0.001034393586759762	0.0012929919834497026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S6S202009b	0.3122720166753536	0.21834288692027054	0.12389265242313689	0.06683168316831684	0.02136529442417924	0.05588848358520064	0.037519541427827	0.0419489317352788	0.011985409067222503	0.021495570609692524	0.018238665971860323	0.013809275664408545	0.011203751954142784	0.009770713913496609	0.009379885356956745	0.008077123501823864	0.0007816571130797289	0.0024752475247524757	0.0019541427826993227	0.0	0.002996352266805628	0.003908285565398645	0.0005211047420531526	0.0010422094841063053	0.0026055237102657635	0.0006513809275664408	0.0	0.0	0.0	0.0	0.0	0.000781657113079729	0.0	0.0002605523710265763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S6U202009a	0.30623556581986	0.241108545034641	0.08498845265588895	0.09284064665127002	0.02078521939953811	0.06189376443418018	0.02540415704387992	0.010623556581986146	0.025866050808314105	0.025404157043879914	0.019399538106235573	0.02540415704387991	0.021247113163972292	0.007852193995381066	0.006466512702078523	0.006928406466512703	0.005542725173210163	0.0013856812933025404	0.0023094688221709007	0.0013856812933025404	0.0013856812933025404	0.0009237875288683603	0.0009237875288683603	0.0	0.0009237875288683603	0.0009237875288683603	0.00046189376443418013	0.0	0.0	0.0	0.0	0.00046189376443418013	0.0009237875288683603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S6U202009b	0.2885375494071153	0.223978919631094	0.0816864295125164	0.10276679841897227	0.02371541501976285	0.07641633728590243	0.026350461133069835	0.0158102766798419	0.019762845849802372	0.030303030303030307	0.026350461133069835	0.01844532279314888	0.022397891963109356	0.010540184453227932	0.006587615283267458	0.002635046113306983	0.0	0.003952569169960474	0.002635046113306983	0.006587615283267458	0.002635046113306983	0.0	0.0	0.003952569169960474	0.0	0.0013175230566534915	0.0	0.0	0.0	0.0	0.0	0.0	0.002635046113306983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S7S202009a	0.3553553553553543	0.21721721721721746	0.10110110110110117	0.032032032032032025	0.01001001001001001	0.05505505505505502	0.05105105105105105	0.09609609609609615	0.013013013013013013	0.008008008008008008	0.01001001001001001	0.008008008008008008	0.007007007007007007	0.009009009009009009	0.006006006006006006	0.005005005005005005	0.0	0.005005005005005005	0.004004004004004004	0.001001001001001001	0.0	0.002002002002002002	0.001001001001001001	0.0	0.0	0.001001001001001001	0.002002002002002002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S7S202009b	0.29928498467824277	0.2308478038815121	0.0929519918283964	0.054136874361593444	0.011235955056179775	0.07354443309499491	0.05107252298263533	0.08886618998978557	0.018386108273748727	0.01634320735444331	0.0071501532175689475	0.009193054136874362	0.01634320735444331	0.011235955056179775	0.0040858018386108275	0.0010214504596527069	0.0040858018386108275	0.0010214504596527069	0.0010214504596527069	0.0020429009193054137	0.0	0.0	0.0	0.0010214504596527069	0.0020429009193054137	0.0	0.0030643513789581204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S7U202009a	0.420419254658383	0.1579968944099373	0.08423913043478229	0.07259316770186318	0.009316770186335407	0.07550465838509271	0.03571428571428567	0.010675465838509323	0.020186335403726725	0.020768633540372686	0.01436335403726709	0.021933229813664596	0.019409937888198763	0.011451863354037277	0.003493788819875776	0.00562888198757764	0.002523291925465838	0.002135093167701863	0.0015527950310559005	0.001358695652173913	0.001358695652173913	0.0007763975155279503	0.0009704968944099378	0.002135093167701863	0.0007763975155279503	0.00019409937888198756	0.00038819875776397513	0.00038819875776397513	0.0	0.0005822981366459627	0.0	0.00038819875776397513	0.0	0.0	0.0005822981366459627	0.00019409937888198756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S7U202009b	0.3969270166453308	0.17242851045667879	0.07511737089201867	0.08279982927870239	0.010029876227059331	0.08258642765685005	0.03670507895860009	0.012163892445582596	0.017712334613743077	0.02731540759709771	0.014297908664105857	0.017498932991890735	0.018352539479300038	0.01067008109261631	0.003627827571489543	0.004694835680751174	0.004054630815194195	0.0025608194622279133	0.0008536064874093043	0.0014938113529662828	0.0008536064874093043	0.0008536064874093043	0.0008536064874093043	0.001920614596670935	0.0006402048655569782	0.0006402048655569782	0.0002134016218523261	0.0008536064874093043	0.0	0.0	0.0	0.0006402048655569782	0.0004268032437046522	0.0002134016218523261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S8S202009a	0.36710598572213177	0.20345963756177882	0.11285008237232311	0.04873695771554092	0.022652388797364077	0.063289401427787	0.04365733113673807	0.04503020318506316	0.015650741350906102	0.013454146073585945	0.018808347062053806	0.011943986820428337	0.006177924217462932	0.005216913783635364	0.0060406370126304225	0.005354200988467874	0.00041186161449752884	0.0030203185063152117	0.0	0.0002745744096650192	0.0009610104338275673	0.002196595277320154	0.001098297638660077	0.0001372872048325096	0.0013728720483250961	0.0006864360241625481	0.0	0.0	0.0001372872048325096	0.0	0.0	0.0002745744096650192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S8S202009b	0.3778785764131179	0.17515701325889763	0.09979064898813664	0.06001395673412424	0.021632937892533153	0.06559665038381024	0.049197487787857694	0.05059316120027917	0.020237264480111664	0.011863224005582691	0.01779483600837405	0.00942079553384508	0.007676203768318212	0.0045359385903698535	0.0045359385903698535	0.006629448709002093	0.0013956734124214933	0.0003489183531053733	0.0017445917655268665	0.00104675505931612	0.0	0.00418702023726448	0.0017445917655268667	0.0034891835310537334	0.00104675505931612	0.0013956734124214933	0.0006978367062107466	0.0	0.0003489183531053733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S8U202009a	0.3427435387674004	0.1827037773359857	0.08667992047713712	0.09801192842942343	0.010536779324055666	0.08846918489065599	0.03260437375745525	0.01451292246520874	0.019284294234592433	0.028230616302186866	0.02007952286282305	0.020874751491053677	0.01968190854870775	0.009542743538767393	0.00536779324055666	0.005566600397614315	0.004174950298210737	0.0021868787276341953	0.0005964214711729623	0.0009940357852882705	0.0007952286282306163	0.00019880715705765408	0.00039761431411530816	0.0015904572564612327	0.0009940357852882705	0.0015904572564612327	0.00039761431411530816	0.00019880715705765408	0.0	0.0	0.0	0.00039761431411530816	0.0	0.0	0.0	0.0	0.0005964214711729623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S8U202009b	0.3495978552278887	0.17439678284182203	0.10201072386058938	0.09410187667560291	0.016085790884718495	0.0825737265415546	0.034852546916890166	0.01689008042895443	0.019034852546916902	0.029758713136729287	0.014075067024128677	0.016487935656836462	0.016890080428954426	0.008981233243967823	0.004289544235924933	0.004959785522788205	0.0033512064343163553	0.0021447721179624667	0.002144772117962467	0.0010723860589812334	0.0009383378016085792	0.00026809651474530834	0.0005361930294906167	0.002412868632707776	0.0005361930294906167	0.00026809651474530834	0.00040214477211796245	0.0	0.0	0.0006702412868632708	0.0	0.00026809651474530834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soils1202009a	0.24068670692813224	0.1703874601343515	0.17995521476555057	0.058763656103684635	0.14344846305217912	0.04621021917622317	0.01567483205537085	0.024971161023274777	0.02748184840876708	0.020085499083938405	0.01791409377756668	0.020899776073827786	0.007396349324828664	0.0022392617221958355	0.005564226097577527	0.003053538712085228	0.0022392617221958346	0.005021374770984601	0.0013571283164823238	0.0018999796430752536	0.0006107077424170455	0.0002714256632964647	0.0010857026531858587	6.785641582411617e-05	0.0014249847323064401	0.0004749949107688132	0.0002714256632964647	6.785641582411617e-05	0.00013571283164823234	6.785641582411617e-05	0.0	0.0	6.785641582411617e-05	0.0	6.785641582411617e-05	6.785641582411617e-05	0.0	0.0	0.0	0.0	6.785641582411617e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soils1202009b	0.2507503514304125	0.1531476767599993	0.19615516127806323	0.05360738573762417	0.1343793928802081	0.04342540177044989	0.016298772842977084	0.028190418297177288	0.02929220014437161	0.020211998024391286	0.017894456897534328	0.020325975456859553	0.008168382660233271	0.002773450856730368	0.004749059686182138	0.003039398199156567	0.002963413244177652	0.005318946848524001	0.0014057216671099124	0.0018996238744728553	0.0006838645948102276	0.00045590972987348506	0.0010637893697047988	0.0003039398199156567	0.000835834504768056	0.0010257968922153416	0.0003419322974051138	0.00026594734242619964	7.598495497891418e-05	0.000417917252384028	0.0	0.00011397743246837128	3.799247748945709e-05	0.0	0.00015196990995782836	7.598495497891418e-05	7.598495497891418e-05	3.799247748945709e-05	3.799247748945709e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soils2202009a	0.2141088530717075	0.13907965428637964	0.20668068208362134	0.05101611772950215	0.19458070544265146	0.03975706610604959	0.01751927119831818	0.02163046017285686	0.03232889511796311	0.015977575332866204	0.018827376781125928	0.021770614342443366	0.006960990422798414	0.001121233356692361	0.003410418126605933	0.0022424667133847218	0.0028030833917309004	0.003784162578836716	0.0010745153001635132	0.000934361130576968	0.0002803083391730904	9.34361130576968e-05	0.0018220042046250859	0.0002803083391730904	0.0002803083391730904	0.0005138986218173324	0.000233590282644242	0.0002803083391730904	0.0001401541695865452	0.0003270263957019388	0.0	0.0	4.67180565288484e-05	0.0	0.0	0.0	0.0	0.0	9.34361130576968e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soils2202009b	0.21439169139466585	0.12999315224834568	0.19601689112075482	0.05552385300159763	0.20509016206345967	0.037890892490298644	0.018603058662405792	0.01945902761926494	0.031043140835425524	0.021741611504222668	0.015921022597580485	0.028589363159096076	0.006676557863501481	0.0015407441223464966	0.0033097466331887693	0.0017119379137183295	0.002396713079205662	0.0034809404245606046	0.0008559689568591646	0.0007989043597352201	0.0003994521798676102	0.00011412919424788861	0.0019401963022141068	0.00028532298561972154	0.0005135813741154988	0.0008559689568591644	0.0	0.00011412919424788861	5.7064597123944306e-05	0.0003994521798676102	0.0	0.00011412919424788861	0.0	0.0	5.7064597123944306e-05	0.0	5.7064597123944306e-05	5.7064597123944306e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
soils3202009a	0.24147263288197618	0.16534643679135572	0.17943830219851165	0.06780474717951171	0.13140640958661778	0.042176755482129846	0.017753679464188883	0.019782267971364148	0.03260332387286217	0.018878581211787114	0.018991542056734412	0.028146077199324087	0.008457943265415619	0.0030358227079538397	0.005761003092303139	0.003186437167883347	0.0030781830248090137	0.004283098704244987	0.001143728555089591	0.0024427782719814704	0.0009648738839233186	0.000334175832968564	0.0008848599520857762	0.0002729887086222072	0.0006071645415907718	0.0006071645415907715	0.0002965222179861907	0.00024004179551263033	0.00012237424869271358	0.0001741479692934769	0.0	0.00010354744120152687	2.353350936398338e-05	9.41340374559335e-06	3.765361498237341e-05	4.7067018727966764e-05	2.353350936398338e-05	1.88268074911867e-05	4.706701872796675e-06	0.0	1.88268074911867e-05	9.41340374559335e-06	4.706701872796675e-06	0.0	0.0	0.0	0.0	4.706701872796675e-06
