	Proteobacteria	Acidobacteriota	Actinobacteriota	Firmicutes	Bacteroidota	Planctomycetota	Verrucomicrobiota	Bacteria_unclassified	Myxococcota	Chloroflexi	Crenarchaeota	Gemmatimonadota	Desulfobacterota	Deinococcota	Nitrospirota	Latescibacterota	Bdellovibrionota	Cyanobacteria	Armatimonadota	Methylomirabilota	RCP2-54	Entotheonellaeota	Fusobacteriota	Elusimicrobiota	NB1-j	Abditibacteriota	MBNT15	Patescibacteria	Fibrobacterota	Spirochaetota	Sumerlaeota	Dependentiae	WS2	Halobacterota	WPS-2	Thermoplasmatota	Campylobacterota	SAR324_clade(Marine_group_B)	GAL15	FCPU426	Archaea_unclassified	Deferrisomatota	Hydrogenedentes
21to22FACS16S221215C04	0.42364141213804046	0.11186037286790952	0.07973026576755256	0.051963506545021826	0.03887346291154304	0.10551368504561681	0.01190003966679889	0.026973423244744152	0.018643395477984926	0.006743355811186037	0.07060690202300675	0.0003966679888932963	0.005156683855612852	0.0	0.04799682665608885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C05	0.6807623585467538	0.08636092912447885	0.01429422275163788	0.06938653960690887	0.005658129839189994	0.03335318642048839	0.0002977963073257892	0.0	0.0	0.0	0.029779630732578916	0.0	0.0	0.02829064919594997	0.0	0.0011911852293031567	0.0011911852293031567	0.0	0.020250148898153665	0.0	0.003871351995235259	0.0	0.0	0.02531268612269208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C06	0.8059222702035781	0.041702652683528685	0.04404688463911167	0.033312769895126465	0.014682294879703888	0.006045650832819247	0.015052436767427513	0.009747069710055522	0.0	0.004194941394201111	0.0	0.00579888957433683	0.0	0.005305367057371993	0.0064157927205428745	0.0	0.00283775447254781	0.0	0.0	0.004935225169648365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C07	0.432715168806467	0.015691868758915834	0.08892058963385639	0.13884926295767952	0.01806942463147884	0.006181645268663814	0.0023775558725630053	0.00047551117451260106	0.10603899191631004	0.028530670470756064	0.04089396100808369	0.0	0.0	0.0	0.009510223490252021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10508796956728483	0.00047551117451260106	0.0	0.0	0.0	0.0	0.0	0.0	0.006181645268663814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C08	0.6041721679429632	0.05743332453129127	0.04462635331396884	0.014259308159493002	0.06773171375759175	0.020992870345920255	0.10522841299181411	0.030102983892263006	0.018616318986004753	0.009242144177449169	0.0	0.004489041457618167	0.0	0.009242144177449169	0.007921837866385001	0.005941378399788751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C09	0.33903707431639	0.2130515014259352	0.016607951685958737	0.05301123972487838	0.11759771850360676	0.057876195269250134	0.0793491024995806	0.02851870491528267	0.0	0.01895655091427613	0.02415702063412179	0.004361684281160879	0.0	0.011239724878376111	0.001677570877369569	0.0	0.0	0.0	0.018621036738802214	0.0	0.01073645361516524	0.005200469719845663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C10	0.4595671981776765	0.032317767653758545	0.19305239179954445	0.24031890660592256	0.023490888382687924	0.0002847380410022779	0.004555808656036447	0.004840546697038724	0.005837129840546697	0.013240318906605921	0.00014236902050113895	0.006691343963553531	0.00042710706150341686	0.0	0.0	0.0	0.0	0.0	0.0	0.00412870159453303	0.0	0.0011389521640091116	0.0	0.009965831435079727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C11	0.6361138861138862	0.034215784215784216	0.12612387612387616	0.10364635364635363	0.0	0.021728271728271728	0.0	0.0023726273726273725	0.0	0.027722277722277724	0.0013736263736263737	0.0	0.0	0.01073926073926074	0.0	0.0013736263736263737	0.0	0.0	0.0	0.003121878121878122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03146853146853147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215C12	0.6725620480750435	0.07983193277310924	0.03634942349032636	0.012605042016806723	0.019151846785225718	0.036935704514363885	0.03517686144225132	0.00957592339261286	0.0018565565761188196	0.0008794215360562829	0.00908735587258159	0.012409615008794216	0.0	0.0	0.0	0.03380887238616377	0.0	0.014168458080906781	0.0	0.001172562048075044	0.0	0.014363885088919288	0.0	0.0	0.010064490912644128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215D01	0.315537293485369	0.16336338044189172	0.1861404157306571	0.02742628031961782	0.049975829612989485	0.046847897176330124	0.02842153154946398	0.018383712002729823	0.031563681860835455	0.04335029999715648	0.009369579435266015	0.03541672590781133	0.0018341058378593567	2.8435749424176075e-05	0.0022464242045099098	5.687149884835215e-05	0.006198993374470384	0.003867261921687946	0.008345892455995678	0.003127932436659368	0.0	0.0	0.0	0.0	0.0	0.0005118434896351693	0.0	0.005701367759547302	0.0	0.0015639662183296842	0.001137429976967043	0.006326954246879177	0.0024881280746154063	0.0	0.0007677652344527539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
